UID          PID    PPID  C STIME TTY          TIME CMD
root         191       2  0 12:40 ?        00:00:01 [jbd2/sda2-8]
root         192       2  0 12:40 ?        00:00:00 [ext4-rsv-conver]
root         204       2  0 12:40 ?        00:00:00 [hwrng]
root         232       1  0 12:40 ?        00:00:12 /lib/systemd/systemd-journald
root         266       1  0 12:40 ?        00:00:01 /lib/systemd/systemd-udevd
systemd+     384       1  1 12:40 ?        00:01:35 /lib/systemd/systemd-oomd
systemd+     385       1  0 12:40 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     386       1  0 12:40 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         485       1  0 12:40 ?        00:00:02 /usr/libexec/accounts-daemon
root         486       1  0 12:40 ?        00:00:00 /usr/sbin/acpid
avahi        489       1  0 12:40 ?        00:00:01 avahi-daemon: running [natasha-Standard-PC-Q35-ICH9-2009.local]
root         491       1  0 12:40 ?        00:00:00 /usr/sbin/cron -f -P
message+     493       1  0 12:40 ?        00:00:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         494       1  0 12:40 ?        00:00:04 /usr/sbin/NetworkManager --no-daemon
root         503       1  0 12:40 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         506       1  0 12:40 ?        00:00:01 /usr/libexec/polkitd --no-debug
root         509       1  0 12:40 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       510       1  0 12:40 ?        00:00:02 /usr/sbin/rsyslogd -n -iNONE
root         515       1  0 12:40 ?        00:00:11 /usr/lib/snapd/snapd
root         519       1  0 12:40 ?        00:00:00 /usr/libexec/switcheroo-control
root         521       1  0 12:40 ?        00:00:01 /lib/systemd/systemd-logind
root         522       1  0 12:40 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         525       1  0 12:40 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        544     489  0 12:40 ?        00:00:00 avahi-daemon: chroot helper
root         570       1  0 12:40 ?        00:00:00 /usr/sbin/ModemManager
root         573       1  0 12:40 ?        00:00:00 /usr/sbin/cupsd -l
lp           604     573  0 12:40 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp           606     573  0 12:40 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root         611       1  0 12:40 ?        00:00:00 /usr/sbin/gdm3
root         632       1  0 12:40 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         662       1  0 12:40 ?        00:00:00 /usr/sbin/cups-browsed
kernoops     672       1  0 12:40 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     681       1  0 12:40 ?        00:00:00 /usr/sbin/kerneloops
root         741     611  0 12:41 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
natasha      747       1  0 12:41 ?        00:00:18 /lib/systemd/systemd --user
natasha      748     747  0 12:41 ?        00:00:00 (sd-pam)
natasha      754     747  0 12:41 ?        00:00:00 /usr/bin/pipewire
natasha      755     747  0 12:41 ?        00:00:00 /usr/bin/pipewire-media-session
natasha      756     747  0 12:41 ?        00:00:02 /usr/bin/pulseaudio --daemonize=no --log-target=journal
natasha      764       1  0 12:41 ?        00:00:01 /usr/bin/gnome-keyring-daemon --daemonize --login
